timestep,agent_id,community_id,centrality,d0,d1,d2,d3,d4,d5
0,0,0,0.625,0.545708,0.344002,0.612568,0.641085,0.207345,0.304673
0,1,0,0.75,0.519176,0.452564,0.49748,0.372043,0.63191,0.616669
0,2,0,0.5,0.509905,0.669086,0.570126,0.371106,0.555313,0.356168
0,3,0,0.75,0.631768,0.492511,0.472271,0.397861,0.683381,0.476821
0,4,0,0.75,0.435751,0.44718,0.579846,0.554817,0.56191,0.564623
0,5,0,0.875,0.821247,0.439038,0.423164,0.377934,0.592397,0.669346
0,6,0,0.75,0.482908,0.373977,0.376328,0.597589,0.611488,0.581473
0,7,0,0.75,0.400174,0.534824,0.517503,0.532803,0.630714,0.533539
0,8,0,0.75,0.601837,0.510137,0.543368,0.594693,0.281427,0.452049
0,9,0,0.625,0.429444,0.404168,0.458729,0.724241,0.370125,0.645242
0,10,0,0.625,0.24757,0.449767,0.524413,0.587933,0.606684,0.619002
0,11,0,0.75,0.447691,0.430647,0.628696,0.471304,0.308647,0.330007
0,12,0,0.75,0.362082,0.574574,0.521364,0.603573,0.435912,0.523781
0,13,0,0.875,0.593839,0.453598,0.568516,0.400711,0.445542,0.442739
0,14,0,0.625,0.320624,0.573046,0.42959,0.501874,0.572112,0.56698
0,15,0,0.625,0.599808,0.485227,0.436505,0.488042,0.2469,0.282933
0,16,0,0.625,0.301595,0.350413,0.559966,0.364178,0.443276,0.694884
0,17,0,0.875,0.44656,0.610627,0.359957,0.469184,0.357497,0.449145
0,18,0,0.75,0.626046,0.240902,0.565164,0.53566,0.410878,0.283091
0,19,0,0.875,0.510819,0.420576,0.534901,0.503278,0.740267,0.464097
0,20,0,0.75,0.346475,0.526891,0.533,0.703878,0.625267,0.553531
0,21,0,0.75,0.719495,0.321686,0.404037,0.361014,0.441529,0.293497
0,22,0,0.625,0.595273,0.466667,0.279379,0.347663,0.547027,0.625719
0,23,0,0.875,0.79951,0.937079,0.562161,0.351569,0.180193,0.540157
0,24,0,0.75,0.378059,0.437696,0.408185,0.478881,0.659897,0.523557
0,25,0,0.75,0.476205,0.344652,0.248798,0.427054,0.491933,0.765189
0,26,0,0.75,0.519541,0.647411,0.425106,0.322258,0.355232,0.391216
0,27,0,0.75,0.81927,0.376792,0.625773,0.364561,0.639736,0.557743
0,28,0,0.75,0.476504,0.493886,0.401782,0.566911,0.431752,0.316159
0,29,0,0.75,0.308309,0.525888,0.736864,0.523999,0.482204,0.542874
0,30,0,0.625,0.6959,0.532907,0.438361,0.665943,0.564313,0.730363
0,31,0,0.75,0.527485,0.31633,0.294776,0.747639,0.75855,0.473072
0,32,0,0.75,0.442522,0.719217,0.333943,0.365791,0.596499,0.440809
0,33,0,0.75,0.499232,0.475484,0.550636,0.711122,0.513588,0.596591
0,34,0,0.75,0.192474,0.492692,0.373515,0.317178,0.368277,0.449881
0,35,0,0.625,0.637385,0.301041,0.504595,0.427375,0.450849,0.650414
0,36,0,0.75,0.580717,0.70061,0.476824,0.395609,0.466421,0.536375
0,37,0,0.75,0.526486,0.337342,0.513573,0.534234,0.877621,0.781527
0,38,0,0.5,0.372013,0.456892,0.280484,0.411394,0.547341,0.680878
0,39,0,0.875,0.390637,0.401878,0.177907,0.4756,0.340638,0.420584
0,40,0,0.625,0.368471,0.485861,0.236341,0.279943,0.819387,0.306887
0,41,0,0.75,0.335482,0.775537,0.93576,0.324265,0.444763,0.551233
0,42,0,0.625,0.759305,0.351971,0.463208,0.616601,0.565215,0.443577
0,43,0,0.75,0.479927,0.293766,0.464274,0.460042,0.534825,0.416701
0,44,0,0.75,0.570731,0.651907,0.523314,0.552763,0.507973,0.500013
0,45,0,0.625,0.391766,0.547474,0.485407,0.813975,0.736003,0.557877
0,46,0,0.75,0.385541,0.333138,0.678671,0.539412,0.572022,0.238312
0,47,0,0.875,0.639116,0.568163,0.333435,0.429271,0.539558,0.50787
0,48,0,0.875,0.456174,0.484477,0.462203,0.522884,0.720724,0.115001
0,49,0,0.75,0.464472,0.526477,0.544399,0.444213,0.236492,0.549199
0,50,0,0.75,0.759103,0.269921,0.629574,0.450721,0.490801,0.342065
0,51,0,0.75,0.449832,0.695007,0.587398,0.759847,0.676612,0.565863
0,52,0,0.75,0.76159,0.565849,0.624198,0.455514,0.509982,0.395386
0,53,0,0.625,0.648438,0.323254,0.617353,0.471402,0.675687,0.61263
0,54,0,0.875,0.773097,0.609616,0.264194,0.489957,0.324199,0.422258
0,55,0,0.75,0.726684,0.59563,0.39516,0.347942,0.504917,0.317516
0,56,0,0.75,0.399329,0.546801,0.673297,0.591314,0.156307,0.545655
0,57,0,0.875,0.510805,0.562084,0.742431,0.190514,0.411334,0.588636
0,58,0,0.875,0.262761,0.721392,0.555253,0.626988,0.414358,0.622065
0,59,0,0.875,0.660271,0.534932,0.53516,0.540551,0.370498,0.477871
0,60,0,0.875,0.477122,0.557509,0.649974,0.34122,0.481249,0.722218
0,61,0,0.75,0.388462,0.376662,0.530346,0.626658,0.501714,0.699344
0,62,0,0.875,0.628519,0.626273,0.583117,0.849148,0.469226,0.199472
0,63,0,0.75,0.740638,0.431345,0.516182,0.696433,0.259661,0.312253
0,64,0,0.75,0.259808,0.38088,0.565945,0.578628,0.541441,0.288085
0,65,0,0.625,0.153484,0.508153,0.429234,0.568908,0.605293,0.520736
0,66,0,0.75,0.61402,0.534382,0.57951,0.394299,0.473058,0.529516
0,67,0,0.5,0.623079,0.440939,0.578175,0.460124,0.482369,0.624428
0,68,0,0.75,0.201041,0.305529,0.277672,0.149958,0.39826,0.612415
0,69,0,0.625,0.457267,0.529669,0.663383,0.699153,0.489629,0.703038
0,70,0,0.875,0.513819,0.37439,0.41084,0.27792,0.36678,0.446297
0,71,0,0.75,0.620538,0.758115,0.292673,0.558924,0.343918,0.571205
0,72,0,0.75,0.480337,0.225364,0.639245,0.40925,0.419915,0.339537
0,73,0,0.75,0.401858,0.564184,0.471613,0.549299,0.554288,0.698099
0,74,0,0.75,0.448582,0.278471,0.660083,0.450277,0.667189,0.557507
0,75,0,0.75,0.480329,0.552316,0.792652,0.811547,0.510407,0.524029
0,76,0,0.625,0.661436,0.373151,0.549961,0.496121,0.547086,0.374995
0,77,0,0.75,0.261565,0.189052,0.332392,0.431199,0.456021,0.790585
0,78,0,0.625,0.665899,0.355686,0.552156,0.438938,0.457345,0.527799
0,79,0,0.75,0.592876,0.449111,0.659578,0.328709,0.500951,0.889651
0,80,0,0.75,0.533462,0.714982,0.513728,0.587117,0.491483,0.474439
0,81,0,0.75,0.383078,0.564545,0.372269,0.599838,0.662793,0.55498
0,82,0,0.875,0.457063,0.568095,0.453699,0.640332,0.225289,0.449659
0,83,0,0.875,0.201378,0.275741,0.704579,0.634278,0.392078,0.274624
0,84,0,0.625,0.055321,0.418476,0.863062,0.565233,0.416064,0.569762
0,85,0,0.875,0.265856,0.455401,0.514922,0.487085,0.618621,0.551697
0,86,0,0.75,0.600249,0.396744,0.634672,0.744341,0.354478,0.366846
0,87,0,0.75,0.700368,0.471298,0.710573,0.43362,0.718257,0.519723
0,88,0,0.75,0.538734,0.734708,0.445734,0.358832,0.432715,0.56785
0,89,0,0.625,0.265136,0.595621,0.419184,0.672172,0.140861,0.382015
0,90,0,0.75,0.24703,0.376066,0.53715,0.473116,0.461993,0.476122
0,91,0,0.75,0.530508,0.34872,0.606027,0.5994,0.557756,0.58348
0,92,0,0.75,0.544463,0.805261,0.486936,0.453938,0.386971,0.345161
0,93,0,0.75,0.313329,0.36668,0.489398,0.550144,0.507671,0.38517
0,94,0,0.875,0.635028,0.610912,0.476053,0.402063,0.582264,0.528196
0,95,0,0.75,0.282781,0.489803,0.539305,0.365046,0.528477,0.281777
0,96,0,0.625,0.700428,0.687192,0.462122,0.554518,0.138512,0.326548
0,97,0,1.0,0.455933,0.33918,0.607159,0.799594,0.323508,0.37438
0,98,0,0.75,0.535317,0.741667,0.316644,0.537355,0.773195,0.252236
0,99,0,0.875,0.30784,0.436459,0.421912,0.62189,0.536249,0.233756
0,100,0,0.75,0.577312,0.413369,0.691167,0.405862,0.404508,0.58117
0,101,0,0.75,0.614439,0.567215,0.24716,0.580705,0.344854,0.535291
0,102,0,0.625,0.28644,0.566948,0.37901,0.307605,0.607073,0.536247
0,103,0,0.875,0.407903,0.717677,0.433902,0.504816,0.540337,0.40705
0,104,0,0.625,0.57067,0.419982,0.438254,0.704396,0.343912,0.138083
0,105,0,0.75,0.741641,0.882399,0.43921,0.209474,0.453427,0.457067
0,106,0,0.75,0.471511,0.332992,0.586934,0.578676,0.275839,0.60488
0,107,0,1.0,0.807903,0.525794,0.449401,0.4787,0.592289,0.240399
0,108,0,0.875,0.524659,0.44143,0.777174,0.473874,0.750183,0.334439
0,109,0,0.875,0.588089,0.54791,0.369643,0.526609,0.681878,0.451431
0,110,0,0.875,0.246206,0.497366,0.364637,0.448649,0.487762,0.244152
0,111,0,0.75,0.257651,0.57231,0.421592,0.115288,0.617727,0.540855
0,112,0,0.625,0.392919,0.302475,0.625371,0.552403,0.85739,0.563028
